CNTY_NM,Longitude,Latitude,FIPS,max_wind_speed(knots),hurricane_count,burned_area(km*km),wildfire_count
Anderson,-95.65251774,31.81321543,48001,67,6,26.8,10
Andrews,-102.6378839,32.30506283,48003,20,1,7.07,5
Angelina,-94.611742,31.25475875,48005,67,10,60.67,7
Aransas,-96.99258951,28.12709562,48007,115,12,146.63,8
Archer,-98.68783437,33.61539176,48009,25,6,18.65,2
Armstrong,-101.3572412,34.96522076,48011,22,1,206.01,14
Atascosa,-98.52741302,28.89418432,48013,60,7,41.37,9
Austin,-96.27791829,29.88711223,48015,80,13,67.31,11
Bailey,-102.8299069,34.0684915,48017,0,0,483.19,13
Bandera,-99.24637282,29.74724753,48019,40,5,16.72,3
Bastrop,-97.31187705,30.10353518,48021,47,4,87.03,12
Baylor,-99.21351964,33.61648147,48023,25,4,44.37,3
Bee,-97.74116811,28.41736675,48025,115,12,146.63,9
Bell,-97.47790776,31.03778267,48027,35,7,70.31,8
Bexar,-98.51966309,29.44884523,48029,42,6,19.08,3
Blanco,-98.39974086,30.26636128,48031,40,3,15.65,10
Borden,-101.4317533,32.7436916,48033,25,2,21.44,2
Bosque,-97.63437613,31.90050476,48035,32,6,58.09,9
Bowie,-94.42324298,33.44572786,48037,35,10,110.61,13
Brazoria,-95.45578479,29.19345387,48039,100,14,25.94,6
Brazos,-96.3022943,30.6610425,48041,60,10,67.31,9
Brewster,-103.2518906,29.81205836,48043,35,3,202.36,6
Briscoe,-101.2085769,34.53041048,48045,22,1,287.9,11
Brooks,-98.21874127,27.0315669,48047,100,8,126.26,11
Brown,-98.99989649,31.77432313,48049,27,2,32.8,7
Burleson,-96.62109399,30.49246139,48051,60,9,102.25,10
Burnet,-98.18252382,30.78843382,48053,35,3,90.89,10
Caldwell,-97.61983479,29.83677935,48055,57,6,87.03,10
Calhoun,-96.64708119,28.48966896,48057,115,11,100.97,10
Callahan,-99.37359692,32.2977738,48059,25,3,123.69,8
Cameron,-97.51499968,26.13847728,48061,120,9,9.43,2
Camp,-94.97860185,32.97321771,48063,42,7,90.25,10
Carson,-101.3542037,35.40346802,48065,0,0,131.62,13
Cass,-94.34348771,33.07750446,48067,40,10,248.45,13
Castro,-102.2617608,34.53000304,48069,0,0,218.44,11
Chambers,-94.60891308,29.73912276,48071,100,21,31.3,9
Cherokee,-95.16515234,31.83695632,48073,67,6,81.25,10
Childress,-100.2075664,34.52929257,48075,25,1,544.71,11
Clay,-98.208958,33.78379717,48077,25,6,45.87,4
